ID fire,ID definition,definition,canton,ID municipality,municipality code,municipality,ID current municipality,current municipality code,current municipality,start date,ID accuracy start date,accuracy start date,date end of fire,ID accuracy end date,accuracy end date,start date (solar time),end date (solar time),locality,coordinates x,coordinates y,ID accuracy coordinates,accuracy coordinates,altitude [m asl],ID exposition,exposition,slope [%],forest [ha],grassland [ha],nonproductive [ha],total [ha],ID Cause,cause,other cause,ID cause reliability,cause reliability
198001010201,1,forest fire,BE,15159,587,Matten bei Interlaken,15159,587,Matten bei Interlaken,1980-01-01 00:00:00.0,7.0,year,1980-01-01 00:00:00.0,7.0,year,1980-01-01 00:00:00.0,1980-01-01 00:00:00.0,Gr. Rugen,631389.0,168902.0,1.0,> 1000 m,650.0,,,,0.01,0.0,0.0,0.01,15.0,other known cause,Unvorsichtigkeit,,
198001010202,1,forest fire,BE,15150,577,Gsteigwiler,15150,577,Gsteigwiler,1980-01-01 00:00:00.0,7.0,year,1980-01-01 00:00:00.0,7.0,year,1980-01-01 00:00:00.0,1980-01-01 00:00:00.0,Aenderberg,633690.0,167416.0,3.0,50-500 m,700.0,,,,0.15,0.0,0.0,0.15,15.0,other known cause,Unvorsichtigkeit,,
198002082101,1,forest fire,TI,12807,5115,Losone,12807,5115,Losone,1980-02-08 11:45:00.0,1.0,minute,1980-02-08 16:00:00.0,1.0,minute,1980-02-08 11:45:00.0,1980-02-08 16:00:00.0,Renecone,702250.0,113950.0,,,220.0,9.0,plain,0.0,0.06,0.0,0.0,0.06,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002122101,1,forest fire,TI,12665,5009,Isone,12665,5009,Isone,1980-02-12 12:30:00.0,1.0,minute,1980-02-12 16:00:00.0,1.0,minute,1980-02-12 12:30:00.0,1980-02-12 16:00:00.0,Valeggione-Boffalora,718860.0,108920.0,,,740.0,8.0,SE,65.0,3.8,0.2,0.0,4.0,1.0,unknown,,1.0,sure
198002122102,1,forest fire,TI,11904,5281,Biasca,11904,5281,Biasca,1980-02-12 13:20:00.0,1.0,minute,1980-02-12 15:00:00.0,1.0,minute,1980-02-12 13:20:00.0,1980-02-12 15:00:00.0,Motterello,718160.0,135250.0,,,360.0,3.0,W,50.0,1.0,0.0,0.0,1.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure
198002142101,1,forest fire,TI,12828,5113,Locarno,12828,5113,Locarno,1980-02-14 11:20:00.0,1.0,minute,1980-02-14 12:45:00.0,1.0,minute,1980-02-14 11:20:00.0,1980-02-14 12:45:00.0,via alle Sorgenti-sentiero Roncaccio,702480.0,114620.0,,,220.0,2.0,SW,18.0,0.05,0.0,0.0,0.05,5.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure
198002182101,1,forest fire,TI,12050,5314,Gordevio,14940,5324,Avegno Gordevio,1980-02-18 13:30:00.0,1.0,minute,1980-02-18 18:00:00.0,1.0,minute,1980-02-18 13:30:00.0,1980-02-18 18:00:00.0,Bozze (Ronchini),699980.0,120840.0,,,320.0,2.0,SW,70.0,3.0,0.0,0.0,3.0,1.0,unknown,,1.0,sure
198002182102,1,forest fire,TI,13135,5121,Orselina,13135,5121,Orselina,1980-02-18 10:00:00.0,1.0,minute,1980-02-18 14:30:00.0,1.0,minute,1980-02-18 10:00:00.0,1980-02-18 14:30:00.0,via Vignale/Moscumo,705000.0,115320.0,,,540.0,8.0,SE,64.0,1.0,0.0,0.0,1.0,1.0,unknown,,1.0,sure
198002182103,1,forest fire,TI,11673,5091,Ascona,11673,5091,Ascona,1980-02-18 13:00:00.0,1.0,minute,1980-02-18 16:00:00.0,1.0,minute,1980-02-18 13:00:00.0,1980-02-18 16:00:00.0,Beato Berno-Böcc dell'asen,701000.0,112080.0,,,340.0,8.0,SE,70.0,0.2,0.0,0.0,0.2,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002182104,1,forest fire,TI,13023,5220,Sala Capriasca,14938,5226,Capriasca,1980-02-18 12:01:00.0,3.0,day,1980-02-18 12:01:00.0,3.0,day,1980-02-18 12:01:00.0,1980-02-18 12:01:00.0,,,,,,,,,,0.5,0.5,0.0,1.0,1.0,unknown,,1.0,sure
198002202101,1,forest fire,TI,12623,5189,Lamone,12623,5189,Lamone,1980-02-20 14:30:00.0,1.0,minute,1980-02-20 16:00:00.0,1.0,minute,1980-02-20 14:30:00.0,1980-02-20 16:00:00.0,Selva,715860.0,100200.0,,,330.0,3.0,W,50.0,1.0,0.0,0.0,1.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002252101,1,forest fire,TI,12848,5219,Rovio,12848,5219,Rovio,1980-02-25 14:00:00.0,1.0,minute,1980-02-25 17:00:00.0,1.0,minute,1980-02-25 14:00:00.0,1980-02-25 17:00:00.0,S.Rocco,719900.0,87580.0,,,380.0,1.0,S,85.0,0.03,0.0,0.0,0.03,1.0,unknown,,1.0,sure
198002252102,1,forest fire,TI,11833,5097,Brissago,11833,5097,Brissago,1980-02-25 12:45:00.0,1.0,minute,1980-02-25 16:00:00.0,1.0,minute,1980-02-25 12:45:00.0,1980-02-25 16:00:00.0,Taia,697340.0,107500.0,,,440.0,7.0,E,50.0,1.0,0.0,0.0,1.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002261801,1,forest fire,GR,14203,3614,Rueun,16061,3619,Ilanz/Glion,1980-02-26 13:20:00.0,1.0,minute,1980-02-26 14:30:00.0,1.0,minute,1980-02-26 13:20:00.0,1980-02-26 14:30:00.0,"Chischlun, Rueun",730400.0,182500.0,,,844.0,1.0,S,60.0,0.35,,,0.55,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002262101,1,forest fire,TI,11882,5002,Bellinzona,16078,5002,Bellinzona,1980-02-26 13:45:00.0,1.0,minute,1980-02-26 17:00:00.0,1.0,minute,1980-02-26 13:45:00.0,1980-02-26 17:00:00.0,Roncaa,,,,,,,,,0.05,0.0,0.0,0.05,1.0,unknown,,1.0,sure
198002262102,1,forest fire,TI,12735,5074,Mairengo,15685,5072,Faido,1980-02-26 13:00:00.0,1.0,minute,1980-02-26 17:30:00.0,1.0,minute,1980-02-26 13:00:00.0,1980-02-26 17:30:00.0,sopra Raslina/Ruine Osco,703100.0,149520.0,,,920.0,1.0,S,80.0,1.0,0.5,0.0,1.5,5.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure
198002262103,1,forest fire,TI,10916,5230,Vernate,10916,5230,Vernate,1980-02-26 17:30:00.0,1.0,minute,1980-02-26 19:30:00.0,1.0,minute,1980-02-26 17:30:00.0,1980-02-26 19:30:00.0,zona Santa Maria,711320.0,95040.0,,,660.0,4.0,NW,25.0,2.0,0.0,0.0,2.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002262104,1,forest fire,TI,12751,5041,Malvaglia,15509,5050,Serravalle,1980-02-26 15:00:00.0,1.0,minute,1980-02-26 17:30:00.0,1.0,minute,1980-02-26 15:00:00.0,1980-02-26 17:30:00.0,Ponte di Dentro,719275.0,140100.0,,,640.0,3.0,W,25.0,1.0,0.0,0.0,1.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002271851,1,forest fire,GR,14297,3834,Roveredo (GR),16020,3834,Roveredo (GR),1980-02-27 12:01:00.0,3.0,day,1980-02-27 12:01:00.0,3.0,day,1980-02-27 12:01:00.0,1980-02-27 12:01:00.0,,,,,,,,,,5.0,2.0,0.0,7.0,1.0,unknown,,1.0,sure
198002272101,1,forest fire,TI,12379,5259,Muggio,14974,5269,Breggia,1980-02-27 18:00:00.0,1.0,minute,1980-02-28 11:00:00.0,1.0,minute,1980-02-27 18:00:00.0,1980-02-28 11:00:00.0,Castegna,723000.0,86140.0,,,960.0,2.0,SW,70.0,7.0,6.0,0.0,13.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198002292101,1,forest fire,TI,11882,5002,Bellinzona,16078,5002,Bellinzona,1980-02-29 07:00:00.0,1.0,minute,1980-02-29 09:30:00.0,1.0,minute,1980-02-29 07:00:00.0,1980-02-29 09:30:00.0,Ronchi di Daro,,,,,,,,,0.05,0.0,0.0,0.05,1.0,unknown,,1.0,sure
198003022101,1,forest fire,TI,10880,5227,Torricella-Taverne,10880,5227,Torricella-Taverne,1980-03-02 01:00:00.0,1.0,minute,1980-03-02 18:00:00.0,1.0,minute,1980-03-02 01:00:00.0,1980-03-02 18:00:00.0,Alborello-Cima Val Barberina,713600.0,102480.0,,,920.0,8.0,SE,45.0,1.0,1.0,5.0,7.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
198003032101,1,forest fire,TI,13251,5250,Chiasso,13251,5250,Chiasso,1980-03-03 20:00:00.0,1.0,minute,1980-03-04 01:00:00.0,1.0,minute,1980-03-03 20:00:00.0,1980-03-04 01:00:00.0,Colma,723000.0,75560.0,,,560.0,5.0,N,40.0,1.0,0.0,0.0,1.0,13.0,cross-border,,1.0,sure
198003032102,1,forest fire,TI,12623,5189,Lamone,12623,5189,Lamone,1980-03-03 19:40:00.0,1.0,minute,1980-03-04 00:00:00.0,1.0,minute,1980-03-03 19:40:00.0,1980-03-04 00:00:00.0,Motto di Grumo,715140.0,100100.0,,,330.0,6.0,NE,70.0,2.0,0.0,0.0,2.0,5.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed
