ID fire,ID definition,definition,canton,ID municipality,municipality code,municipality,ID current municipality,current municipality code,current municipality,start date,ID accuracy start date,accuracy start date,date end of fire,ID accuracy end date,accuracy end date,start date (solar time),end date (solar time),locality,coordinates_y,coordinates_x,ID accuracy coordinates,accuracy coordinates,altitude [m asl],ID exposition,exposition,slope [%],forest [ha],grassland [ha],nonproductive [ha],total [ha],cause,other cause,ID cause reliability,cause reliability,start_date_min,start_date_max,end_date_min,end_date_max,duration_min,duration_max,longitude,latitude,abbreviation,closest_station_distance,foehn_minutes_24_hour_before,foehn_minutes_48_hour_before,foehn_minutes_during_2_hours_after_start_of_fire,FF_mean_during_2_hours_after_start_of_fire,FFX_mean_during_2_hours_after_start_of_fire,FFX_q75_during_2_hours_after_start_of_fire,FFX_q90_during_2_hours_after_start_of_fire,foehn_minutes_during_6_hours_after_start_of_fire,FF_mean_during_6_hours_after_start_of_fire,FFX_mean_during_6_hours_after_start_of_fire,FFX_q75_during_6_hours_after_start_of_fire,FFX_q90_during_6_hours_after_start_of_fire,foehn_minutes_during_12_hours_after_start_of_fire,FF_mean_during_12_hours_after_start_of_fire,FFX_mean_during_12_hours_after_start_of_fire,FFX_q75_during_12_hours_after_start_of_fire,FFX_q90_during_12_hours_after_start_of_fire,fire_regime,ID Cause,foehn_variant,decade
198002082101,1,forest fire,TI,12807,5115,Losone,12807,5115,Losone,1980-02-08 11:45:00,1.0,minute,1980-02-08 16:00:00,1.0,minute,1980-02-08 11:45:00,1980-02-08 16:00:00,Renecone,702250.0,113950.0,,,220.0,9.0,plain,0.0,0.06,0.0,0.0,0.06,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-02-08 11:45:00,1980-02-08 11:45:00,1980-02-08 16:00:00,1980-02-08 16:00:00,4.250000000000001,4.250000000000001,8.762600329780591,46.16925894078255,OTL,99249.95216623532,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002122101,1,forest fire,TI,12665,5009,Isone,12665,5009,Isone,1980-02-12 12:30:00,1.0,minute,1980-02-12 16:00:00,1.0,minute,1980-02-12 12:30:00,1980-02-12 16:00:00,Valeggione-Boffalora,718860.0,108920.0,,,740.0,8.0,SE,65.0,3.8,0.2,0.0,4.0,unknown,,1.0,sure,1980-02-12 12:30:00,1980-02-12 12:30:00,1980-02-12 16:00:00,1980-02-12 16:00:00,3.5,3.5,8.976342602348575,46.12129504131352,LUG,159946.62195245014,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002122102,1,forest fire,TI,11904,5281,Biasca,11904,5281,Biasca,1980-02-12 13:20:00,1.0,minute,1980-02-12 15:00:00,1.0,minute,1980-02-12 13:20:00,1980-02-12 15:00:00,Motterello,718160.0,135250.0,,,360.0,3.0,W,50.0,1.0,0.0,0.0,1.0,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure,1980-02-12 13:20:00,1980-02-12 13:20:00,1980-02-12 15:00:00,1980-02-12 15:00:00,1.6666666666666667,1.6666666666666667,8.97395319500486,46.35822600824083,MAG,64679.23156624544,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002142101,1,forest fire,TI,12828,5113,Locarno,12828,5113,Locarno,1980-02-14 11:20:00,1.0,minute,1980-02-14 12:45:00,1.0,minute,1980-02-14 11:20:00,1980-02-14 12:45:00,via alle Sorgenti-sentiero Roncaccio,702480.0,114620.0,,,220.0,2.0,SW,18.0,0.05,0.0,0.0,0.05,"private (tourists, hickers,thrown cigarettes,other)",,1.0,sure,1980-02-14 11:20:00,1980-02-14 11:20:00,1980-02-14 12:45:00,1980-02-14 12:45:00,1.4166666666666667,1.4166666666666667,8.76572454004615,46.175250142617536,OTL,70451.28577960802,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002182101,1,forest fire,TI,12050,5314,Gordevio,14940,5324,Avegno Gordevio,1980-02-18 13:30:00,1.0,minute,1980-02-18 18:00:00,1.0,minute,1980-02-18 13:30:00,1980-02-18 18:00:00,Bozze (Ronchini),699980.0,120840.0,,,320.0,2.0,SW,70.0,3.0,0.0,0.0,3.0,unknown,,1.0,sure,1980-02-18 13:30:00,1980-02-18 13:30:00,1980-02-18 18:00:00,1980-02-18 18:00:00,4.500000000000001,4.500000000000001,8.734686482866064,46.23157046111439,OTL,152976.66754443306,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002182102,1,forest fire,TI,13135,5121,Orselina,13135,5121,Orselina,1980-02-18 10:00:00,1.0,minute,1980-02-18 14:30:00,1.0,minute,1980-02-18 10:00:00,1980-02-18 14:30:00,via Vignale/Moscumo,705000.0,115320.0,,,540.0,8.0,SE,64.0,1.0,0.0,0.0,1.0,unknown,,1.0,sure,1980-02-18 10:00:00,1980-02-18 10:00:00,1980-02-18 14:30:00,1980-02-18 14:30:00,4.500000000000001,4.500000000000001,8.798508245984475,46.18115805514261,OTL,21607.11385169245,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002182103,1,forest fire,TI,11673,5091,Ascona,11673,5091,Ascona,1980-02-18 13:00:00,1.0,minute,1980-02-18 16:00:00,1.0,minute,1980-02-18 13:00:00,1980-02-18 16:00:00,Beato Berno-Böcc dell'asen,701000.0,112080.0,,,340.0,8.0,SE,70.0,0.2,0.0,0.0,0.2,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-02-18 13:00:00,1980-02-18 13:00:00,1980-02-18 16:00:00,1980-02-18 16:00:00,3.0,3.0,8.746014746228587,46.15262817420748,OTL,99955.51252932475,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002202101,1,forest fire,TI,12623,5189,Lamone,12623,5189,Lamone,1980-02-20 14:30:00,1.0,minute,1980-02-20 16:00:00,1.0,minute,1980-02-20 14:30:00,1980-02-20 16:00:00,Selva,715860.0,100200.0,,,330.0,3.0,W,50.0,1.0,0.0,0.0,1.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-02-20 14:30:00,1980-02-20 14:30:00,1980-02-20 16:00:00,1980-02-20 16:00:00,1.5,1.5,8.935389890886848,46.04339108580169,LUG,46259.27610760895,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002252101,1,forest fire,TI,12848,5219,Rovio,12848,5219,Rovio,1980-02-25 14:00:00,1.0,minute,1980-02-25 17:00:00,1.0,minute,1980-02-25 14:00:00,1980-02-25 17:00:00,S.Rocco,719900.0,87580.0,,,380.0,1.0,S,85.0,0.03,0.0,0.0,0.03,unknown,,1.0,sure,1980-02-25 14:00:00,1980-02-25 14:00:00,1980-02-25 17:00:00,1980-02-25 17:00:00,3.0,3.0,8.984357091675788,45.9291868412797,LUG,118419.02112836434,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
198002252102,1,forest fire,TI,11833,5097,Brissago,11833,5097,Brissago,1980-02-25 12:45:00,1.0,minute,1980-02-25 16:00:00,1.0,minute,1980-02-25 12:45:00,1980-02-25 16:00:00,Taia,697340.0,107500.0,,,440.0,7.0,E,50.0,1.0,0.0,0.0,1.0,"private (tourists, hickers,thrown cigarettes,other)",,0.0,supposed,1980-02-25 12:45:00,1980-02-25 12:45:00,1980-02-25 16:00:00,1980-02-25 16:00:00,3.25,3.25,8.697696070244241,46.111972583824034,OTL,132881.64048505723,0.0,0.0,,,,,,,,,,,,,,,,Winter anthropogenic,,North foehn,"[1980, 1989]"
